id	GSM4092753_Control	GSM4092754_Control	GSM4092755_Control	GSM4092756_Treat	GSM4092757_Treat	GSM4092758_Treat
ACSL4	7.05349016666667	5.81614266666667	5.87011366666667	6.44526733333333	6.26814266666667	6.20746333333333
ACSL5	3.86142766666667	4.046683	4.32164116666667	3.9256465	4.27554233333333	4.33998866666667
ACSL6	3.94207766666667	3.69913683333333	3.60100166666667	3.83607183333333	3.84288183333333	3.67505733333333
ACSM1	3.953836	3.53861866666667	3.52068333333333	3.78966916666667	3.456572	3.65497433333333
ACSM2A	3.80154716666667	3.84172833333333	3.80088783333333	3.751341	3.82794016666667	3.67152666666667
ACSM3	3.777419	3.66236716666667	3.704467	3.9104045	4.0029095	4.01466
ACSM4	3.8087735	3.80451633333333	3.80335383333333	3.57340133333333	3.8086995	3.88650283333333
ACSM5	5.59738916666667	4.3237975	4.28898	4.2554345	4.59881933333333	4.43571866666667
ACSS1	4.85723316666667	4.8030065	4.551255	4.72245833333333	5.28780783333333	5.3331355
ACSS2	5.47931016666667	5.27851466666667	5.5075275	5.3092765	5.24182216666667	5.29916383333333
ACSS3	4.9808415	3.99871016666667	4.0896765	4.85824316666667	5.52911983333333	4.50416383333333
ACTA1	6.68599066666667	4.25041833333333	4.1575865	5.68449966666667	3.86488933333333	3.8371635
ACTA2	9.92837383333333	6.9742235	5.5438615	8.59165033333333	8.02593516666667	5.7454655
ACTB	12.291423	10.7055565	10.085385	10.7531298333333	10.2051443333333	10.823335
ACTBL2	4.26965916666667	3.93638766666667	3.98802433333333	3.87490516666667	4.01472383333333	4.00851266666667
ACTC1	8.8972555	6.58972283333333	5.08435516666667	7.29536316666667	3.88372433333333	4.22198566666667
ACTG1	12.8321868333333	12.4961461666667	12.291423	12.4450673333333	12.3142606666667	12.0108311666667
ACTG2	9.85697866666667	7.30818266666667	5.4134055	8.189763	6.58395666666667	4.56851016666667
ACTL6A	6.146593	7.29702733333333	7.0787925	6.61436433333333	7.11396033333333	8.1676185
ACTL6B	3.88849066666667	3.91172483333333	3.7162205	3.71920216666667	3.93044	3.73530016666667
ACTL7A	3.81310433333333	4.18367583333333	3.8064005	3.90595541666667	3.75318216666667	4.04926083333333
ACTL7B	3.616177	3.70267366666667	3.76845633333333	3.7971125	3.86734866666667	3.9435225
ACTL8	4.1059985	4.0404865	3.96637933333333	4.51595466666667	4.169999	4.10793083333333
ACTL9	4.86434616666667	4.059709	3.936012	3.90023716666667	3.96878166666667	3.97952833333333
ACTN1	8.5116265	8.68593783333333	7.9785345	8.59776666666667	8.227001	7.688434
ACTN2	3.86042683333333	3.88977533333333	3.82663383333333	3.76606933333333	3.85021416666667	3.8081315
ACTN3	3.89072783333333	3.95042466666667	4.18260783333333	4.0088935	4.16099416666667	3.9988005
ACTN4	7.4334935	6.782048	7.19971116666667	7.61104166666667	7.338988	6.68524783333333
ACTR10	7.27327133333333	6.47744683333333	6.58631033333333	6.44040333333333	6.92568133333333	6.6313835
ACTR1A	6.4249575	7.22276183333333	7.87671833333333	6.66950766666667	6.662441	6.60307366666667
ACTR1B	6.09942283333333	5.99025716666667	6.5451295	6.30843883333333	6.5346575	5.96606783333333
ACTR2	7.28481366666667	7.637763	6.418969	7.75919966666667	7.16152	7.3818805
ACTR3	8.60672383333333	7.75387716666667	7.428441	7.35518833333333	7.20175316666667	7.37485983333333
ACTR3C	3.65722616666667	3.28790683333333	3.57798625	3.34913683333333	3.73381933333333	3.63412283333333
ACTR5	4.76772608333333	4.63927583333333	5.4410745	4.6280265	4.73284116666667	5.4982795
ACTR6	4.31564633333333	4.56426083333333	4.36360033333333	4.3821505	4.8233805	4.62786283333333
ACTR8	5.58285766666667	5.772307	5.86489266666667	5.06647683333333	5.26433916666667	5.57609533333333
ACTRT1	4.44386266666667	4.185192	3.99977	3.98121466666667	4.0350845	3.93206716666667
ACTRT2	3.91885283333333	4.03909383333333	4.1319995	3.9238765	3.9502025	4.1760925
ACVR1	5.95240633333333	5.92564083333333	5.68032366666667	5.53874816666667	5.8889245	5.45203916666667
ACVR1B	5.20217233333333	5.3661255	4.86647816666667	5.05657983333333	4.9063925	4.96622583333333
ACVR1C	3.73552533333333	3.89912783333333	3.83476033333333	3.83232833333333	3.8886195	3.899237
ACVR2A	5.51732166666667	5.68668033333333	5.14534616666667	4.87539633333333	5.214351	5.50695683333333
ACVR2B	4.45917033333333	5.19838166666667	4.71222133333333	5.47330816666667	5.08695916666667	5.05799733333333
ACVRL1	5.7418395	8.12787083333333	8.23159983333333	4.66672616666667	4.212329	4.22840333333333
ACY1	3.76899233333333	3.9933975	4.54987416666667	4.78652166666667	4.46291216666667	4.449304
ACY3	4.137115	4.1144345	4.21150383333333	4.19030666666667	4.153011	4.1036565
ACYP1	6.54313416666667	5.94509366666667	7.22167733333333	6.190825	6.30563666666667	8.02593516666667
ACYP2	5.3123445	4.31302516666667	4.61843633333333	4.57139883333333	4.27897533333333	4.5244625
ADA	4.82091066666667	6.23937966666667	7.61743683333333	6.400276	9.41752816666667	6.771622
ADAD1	3.619188	3.70130666666667	3.48068433333333	3.37817883333333	3.606932	3.66743883333333
ADAD2	5.54372266666667	4.10349233333333	3.9484745	4.159632	3.85355925	3.77185316666667
ADAL	4.0408905	3.95094916666667	3.89168666666667	4.68645633333333	4.31583933333333	4.70971183333333
ADAM10	4.43796333333333	5.3276285	5.13861233333333	4.9065165	5.237205	4.8657935
ADAM11	3.87490516666667	4.120207	4.05349733333333	4.03502316666667	4.06056333333333	3.910591
ADAM12	5.46729866666667	4.28016283333333	4.6711775	6.28757516666667	5.84859616666667	5.30168633333333
ADAM15	5.60278633333333	6.9928385	7.13587033333333	5.476224	5.340987	5.22678733333333
ADAM17	4.71222133333333	5.38757883333333	5.28026683333333	5.2872835	5.108508	5.12792016666667
ADAM18	3.94974816666667	3.71082716666667	3.88181683333333	3.72760083333333	3.7505205	3.75187233333333
ADAM19	5.42196133333333	5.07774083333333	5.198555	4.52355833333333	4.35601266666667	4.45426566666667
ADAM2	3.9642465	3.37466566666667	3.42313283333333	3.496681	3.33150266666667	3.55709883333333
ADAM20	3.71490708333333	3.51878416666667	4.166383	3.86394683333333	3.613274	3.5559605
ADAM21	5.37784716666667	4.00632366666667	4.18111483333333	3.775107	3.99760166666667	3.9829505
ADAM22	3.85223266666667	3.64978366666667	3.73502316666667	3.7569885	3.75223266666667	3.74815883333333
ADAM23	4.037476	4.342054	4.54123933333333	3.60330483333333	3.83692666666667	3.99977
ADAM28	4.42847483333333	3.75616133333333	3.8252865	3.9182955	3.9408575	3.9774755
ADAM29	3.830335	3.85631966666667	3.84525733333333	3.8366315	3.91294733333333	3.83807233333333
ADAM30	5.16224966666667	3.75374533333333	3.97133616666667	4.3671925	4.0751925	4.04309066666667
ADAM32	4.9088335	4.07899466666667	4.07388416666667	4.07343633333333	4.40955066666667	3.78774316666667
ADAM33	4.77115333333333	4.06249516666667	4.14624716666667	4.3611565	4.61590566666667	4.08418766666667
ADAM3A	4.2424615	3.772579	3.93879466666667	3.90991016666667	3.511173	3.78430733333333
ADAM7	3.95236	4.0977085	3.96231433333333	3.8036865	4.01759	3.75396666666667
ADAM8	4.68095266666667	4.13300716666667	4.26737016666667	4.31026666666667	4.22949066666667	4.03278883333333
ADAM9	8.1534005	7.05349016666667	6.95645033333333	8.28448066666667	8.40167916666667	7.484995
ADAMDEC1	3.78135216666667	3.63523233333333	3.69331516666667	3.540298	3.889866	3.86780983333333
ADAMTS1	9.5314115	8.48616366666667	6.74803	9.49869383333333	8.31041166666667	7.24703233333333
ADAMTS10	4.3237975	3.70779083333333	3.88672383333333	3.82058833333333	4.02990983333333	3.72936183333333
ADAMTS12	4.91606333333333	3.96019466666667	3.8800475	4.44166266666667	3.98516716666667	3.97969416666667
ADAMTS13	3.6299795	4.47154733333333	4.0330105	5.32088616666667	5.040955	4.6465525
ADAMTS14	4.11293816666667	3.793699	4.33639616666667	4.0583115	3.957517	4.20194283333333
ADAMTS15	4.07584916666667	4.15574633333333	4.059709	4.37377566666667	3.98113883333333	4.20865083333333
ADAMTS16	3.917768	3.92448133333333	3.8187175	3.80352566666667	3.78775666666667	3.9911885
ADAMTS17	4.163936	3.89476716666667	3.92782733333333	4.09322916666667	4.06213533333333	4.03617883333333
ADAMTS18	3.93145583333333	7.444433	5.6422735	4.27014433333333	3.87929733333333	3.7088635
ADAMTS19	3.72021433333333	4.08664616666667	3.95705716666667	3.70494416666667	3.658185	3.54670033333333
ADAMTS2	5.00900033333333	4.2508725	4.27748566666667	5.4009085	6.13123433333333	4.3702625
ADAMTS20	3.8580965	3.90039516666667	4.120324	3.72009483333333	3.853946	3.85082266666667
ADAMTS3	3.91662116666667	3.78540533333333	3.69154116666667	3.7909345	3.8566635	4.27472616666667
ADAMTS4	5.52367266666667	6.76096766666667	6.89342466666667	6.6232215	5.62031783333333	6.62608766666667
ADAMTS5	4.3659605	4.29327866666667	4.2947025	5.6384995	6.78455783333333	4.79765483333333
ADAMTS6	4.64255116666667	4.71767883333333	5.12592933333333	5.32302766666667	4.93489683333333	4.44579716666667
ADAMTS7	3.82653483333333	4.8185895	5.03521333333333	4.15661016666667	4.6890375	3.905812
ADAMTS8	4.0292025	3.77459066666667	4.0760635	3.7407455	3.97492983333333	4.04713083333333
ADAMTS9	5.062424	7.20259166666667	6.49812266666667	4.17222683333333	4.74109566666667	5.7186385
ADAMTSL1	4.03551983333333	3.89737083333333	4.12776	4.10626616666667	4.1298665	3.83722233333333
ADAMTSL2	4.855529	4.3383825	4.352458	4.62638083333333	4.62311166666667	4.24857516666667
ADAMTSL3	3.71254316666667	4.17940383333333	3.60904983333333	3.69326116666667	3.57754183333333	3.64494083333333
ADAMTSL4	3.932262	3.94161133333333	4.06697816666667	4.27764933333333	4.11661166666667	4.005632
