id	GSM335197_Control	GSM335198_Control	GSM335199_Control	GSM335185_Treat	GSM335186_Treat	GSM335187_Treat	GSM335188_Treat	GSM335189_Treat
ACTA2	5.50703693449138	5.89743828299915	5.78648467991813	7.81757389258583	7.4845485520154	8.77779040808691	7.31022886444681	7.07319090442135
ACTB	11.7328912571342	11.5440252548583	11.6263716682414	11.6144885560613	11.7517185287813	11.967767801071	12.0860973383266	11.8653114971867
ACTC1	4.9792400866237	5.00656475734351	4.67417984232502	6.26166397368682	4.92697604034854	4.92876573712196	3.9904297131443	4.94726948639197
ACTG2	5.28014905245876	3.03724222421361	4.79592948004231	4.56039280226709	5.34759871363989	5.90232765835697	5.38444283143427	5.12358231343284
ACTL6A	5.94235692863929	5.23219945283453	5.13569393392832	6.52743703852128	5.95140652262962	5.72929188643903	6.07091955891981	5.79579479709921
ACTL6B	2.03340548646442	2.63952405951991	4.01715405198155	1.91690028434932	1.86936093319229	1.3905129175532	1.57905352913719	2.24656995939476
ACTL7A	1.13736642732027	2.29572160186202	2.56470873186104	2.52627463169871	1.90624311092178	1.72353875625092	1.99683894319265	2.118002213169
ACTL7B	1.67442181348877	1.67329969588843	3.28715082821904	1.52575271295765	1.93540110611904	2.8608510292738	2.44339091173776	2.29906145553717
ACTL8	2.76514625168549	2.6315072393447	3.20789456604327	2.35108642565526	2.48276457923001	3.19864014072033	3.05409857758529	3.0509615207189
ACTN1	4.63982250481285	5.63837387488051	5.46817878841882	6.95672634828833	7.85946927260272	8.09463909342187	8.50840805944441	8.2514626643946
ACTN2	5.16104788712348	4.92697604034854	5.38488453929748	3.99952213961351	4.77642804895708	5.17787565796988	4.55016591368783	4.3520712006963
ACTN3	3.81284427409499	4.09488143078894	4.41104387133833	3.93468344624736	4.37498425076844	4.33900117102912	2.71708292609131	4.15404847592807
ACTN4	7.58961104674772	6.52774924534751	6.31538809366265	6.26513864779314	6.28832143451968	6.80264694157111	7.36849776035569	6.87935580110984
